冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
玉	瑩去王璽班琅球瑭璧匡全汪弄玥法枉旺怯砝瑯瑰
腿	褪退艮堰偃銀眼根恨垠臃痕跟臍狠限腋鼴丹朧髓艱很肪齦臆良
測	鍘鋇側貝貸貫賃貴賢贊員潰洌賀廁貨費涮則惻責貲貢濺漬買瀏狽
邃	遽豳據噱璩逐豚豕腔控崆倥豢硿豬豭空潸搾搾挖
千	啤垂埤朱重脾裨茱箄恬纖括仟盾卑乖遷侏活痺段婢株舌銖俾阡
煙	湮曬迺哂西鋰酉醮醺甄酒酷醋煩酣酥酗配酌酊醜墨醫蘸
輩	漣陣鏈範軍菲庫徘匪悲非鰱轟排俳輦載斐徊蓮屝痱連車啡靠霏裴囀腓扉翡
胳	咯烙格略洛恪鉻骼珞絡貉賂路客詻酪駱閣咚各
惟	憔推淮堆唯椎進雊錐隹崔帷準雄睢碓稚雉離雜罹
彿	律怫拂沸佛往很徊徇徉徵彼彷徒徙徠徜紼行徘
煌	遑湟惶徨隍蝗韹篁凰皇線珀旺綿潤斑班腺嗥棉銓栓錦拴佺鉑粕柏迫泊
玟	斑玷玨琉璃王玫玥汶抆琥璋璨瓖班玖珊玻珀蚊理琢瑰璿瑕瓏文弄
耋	室窒屋老姪耄輊至絰蛭倒緻姥佬渥握喔致到臻齷
溢	遍異益褊媼偏鎰拱暴縊港嗑塭溫潠供盆哄檻錳慍濫隘烘襤賽鑑溘洪蓋 
邁	癘藕遇禺耦隅偶愚寓萬厲遵遭滿襪躉蹣瞞懵席
項	頂頑頊煩碩頸頤顫頃頓頌頫頜頡頻頭顆顯須預頒頗領頰頷頹穎題顎顓
撕	斧薪聽拱晰昕淅浙嘶廝斤沂析逝掀嶄蜥圻芹斯慚漸折近匠
闋	葵睽揆癸閤閻闕閣閔閏開閎閃閂閥門燈橙澄嶝
埂	哽便梗硬粳更甦鞭坤壞圻圩坷坪由埋胭咽姻柚袖迪坩妯岫抽油鈾垣圬
橄	瞰敢桿檄嫩做枚撒遨邀撇擻嗷傲攸肝汗奸桿竿旱
嗨	敏毓海每晦梅悔侮母莓姆拇嗓誨唷流黴毒繁咐呶囑匯蒞泵
鵝	鴣鷓鵠鵲島鵑鳩鴒鶴鳶鶉鴉鳥鴦鷂鴨鴆鶯鴛鴿鷗鵡鷹鳴鵪鸛
昔	慕廿芭臘鵲募意墓惜厝措摹獵草蕞莫萌暗借錯幕暮音蠟蔓葛
儂	噥濃膿穠農佞澧槽遭嘈漕禮偎蹲醴體撙樽遵糟甚
牢	牟牛件湃宅牡犁看寫我生失毛牠牝牧牯牲軼牽犖犛審物拜特眸
駝	馭騾驛驅駁馱媽嗎馳佗騎鴕驪沱驗馬罵駟驢駱駒騵駭驥陀駛駢驕駐驃驍駿騷騁驟
拔	鈸紱跋髮找犬捕搪拚擡挨捩爻吠畎伏拭摭撼拗
娼	唱倡晶昌猖鯧暘暍曝婚暗嫻媚惜措袒捏借湣涅坦怛僭但潛澗錯汨日曰
押	擇呷柙胛鉀甲匣狎擺曼閘賣摟捆拇澤濁獨曙燭鐸鐲申薯
鬍	鬆鬚髯髡鬃髻鬢髭髮髦鬣葫蝴湖糊瑚胡居箄苦鈷蛄牯枯沽姑固咕估
沂	折圻聽析昕近所斫祈斬斯芹匠新浙淅斧訢掀漸斤
避	劈薛僻宰滓癖蘗鋅檗瓣霹梓辯譬辦辜莘辨壁闢璧臂薜辛辮擘
部	倍郎陪邵郃鬱邢邦耶鄙剖鄴祁郊鄞邱啊那都郾鄱鄘郡鄗郢郭鄭蓓郵
璧	劈薛襞僻癖玉蘗檗霹譬瑩辜避壁闢臂璽薜辛擘
凡	汎釩帆梵夕幾弘亢冗外名朵汐肌舛丸反歹多泓
暇	霞芟奴穀夜瑕骰蝦殿殼沒浸股殷假遐又葭豭投毀設般煆毆候侵段毅疫
震	賑霽霜雨辰霎脤霄振辱雲脣靂宸霓霑娠雯雪晨霖霍
軒	軻軸輥軏軼軌輛輔較轟軛軔輕輻軋輊稈杆輯車軟幹軾輒
儀	蟻議義俄我曦犧哦娥峨樣漾糕膳餓蛾羲繕鱔對鵝件窯
雅	牙邪鴉呀穿芽蚜椎訝稚碓準雜琊雄進雉雊睢淮推惟帷堆唯維錐離榫樵
袋	裁岱依裘襲袈貸裟裝褽裂裴製襞黛衣裳裔代玳迎
褡	搭塔瘩郃襪洽拾恰哈頜鴿答荷荼荃合褕蛤劍閤拿
伋	吸圾汲岌級及仍反扳阪板返鈑俊偺殼各冬閣仔你叛皈伉咚侵咯恪洛降
灤	灣鑾攣戀彎巒蠻變孿鸞礫譏謀諜爍潔樑漯綵絃濰
跤	餃跡狡趴交郊跋鉸效趾踫絞膠跚校傚躂姣蹄距咬踝足趺跟皎躋蹼 
猥	喂煨偎餵猓狸狎畏猜獨猩猿猾猖猙狷獗狩佞獷獵玀猶狼狠狙狂狄
桅	檮倦詭厄呃扼範侯杞蜷配己踡脆軛已圈危卮捲跪苑
絕	紹紛紉縲絲紀線纜糸結絨絡絳絹綏絃終綵綿緝編緹紇縉縐縮繃縵縿織
禮	澧體醴磴燈愷瞪蹬橙皚澄嶝壹證祥穠禧膿濃噥儂福祺
階	媲混崑焜琵篦諧隙價比皆偕揩陛棍陀琨楷隍毚錕介餛鹿罷
仗	杖佬什丈估使午老者考孝杵值豬佇佗倥酵做儲缶宏宥傘
沿	鉛浴淦汾釦治船沼洛浩涪渦涓浥溶銘鉻澡鍋涕鋁泗水品谷
唐	塘搪瑭糖醣庸康允庚劃州官傭慷慵臺充中戈口哲倌班蚤強洲耜棺菅鄉
策	棗棘箱笨禾租稠稱稻刺番柔香委秉稍棚秋相柵秈和私
筧	莧覓峴覺蜆硯視現規見覜覦靦覬覲觀窺攪算篡能比
蚶	蟲蛐蚯蛆蟲蛀蛄蚵蚱蚪蚌蚊蛙蛭蛔虻虹蟒蟆蚜蛟蛛蛞蛾蠅蚣蛤蜻蝶蝠
捂	違葦寤拓圍梧齬搭撿語吾唔悟拾鼯五拮韋擡晤圄伍敔偉招
璟	憬瑁琨晾玷玨景斑班璃璨瓖琉珪珀玟王璜璣璘璋璀璩環璦瑤璿琿瑛瑜
貢	貴槓責項員汞匱簣工潰遺貫貨費買賈貲質贊鋇
婦	掃歸帚伺帶浸侵叼彗虐刁雪帝慧啼嫦妮姬而啻耍蒂
勇	湧奐肋踴男另筋脅瘓觔喚換渙煥努劣勢勞力助叻勵
華	嘩樺曄譁荊蕨莘苦芣芰芾芋卅萋著苛葬甘芽葫薜薛黃厝薴蕙蕈芸蕾妍
走	卒坊越趙趨夜卦趣趁起垃址趟胥陡迄徒玷定赴坑迤是玟赳超足疋趕進
絲	縲糾絃細絆紗綠紂約糸絢絰絀組紲紱紋純紐納紙維練緣紀紆紉繡絨綏
現	莧攪靦瓔玥珊班窺瑤硯覲覺玨蜆覬瑰觀斑筧琛瑁見規覜琨覓峴覦珀視
黯	瘴點獐意焙漳黠默憶噫諳黜幛億璋鏡暗樟培響障黷黔闇臆黝音境
歙	次翕歌砍羽栩飲欲吹磴嘐謬翮翻翔翎翅翟扇茨羿
專	團傳栽磚守轉惠哉寺尊辱截寸村肘吋忖付裁載尉射封紂對糰囀
嗷	傲遨敖邀倣唉熬做嫩撇撒橄激檄擻繳攸放埃聱贅鼇
臣	臥臨宦臧藏贓堅腎臟鑒緊豎賢叩鹽匝印即卯初泖卸茆柳姬聊鉚
鳳	夙凰風鳥幾鳴鳩鴻鶸朵鳶鴃鴣鴨鴿鵑鵝鵠鵡鵲鵬鷺
向	制迥澳掌襖餉自血爨噢棠懊當響咱晌喬尚高奧炯筒釁燠
淞	崧淋沐鬆湘鬆淅渣漆濺瀨沫決公漱頌泓淦波林嗓樑忪錢水森
檻	遍盞褊楹藍偏籃柵艦嗑磕闔錳濫監盍襤瞌尷鑑溘蓋
歟	與舉譽欽嶼歉欺畝歌欲砍欣炊玖坎吹次撳嶔歐歎歇款飲軟疚
羣	羊磋裙鮮搓詳洋咩徉氧祥羼郡君烊嵯嗟羋蹉庠佯
濫	遍盞褊藍偏籃艦嗑溫磕檻闔監盍襤瞌涊溢尷鑑溘蓋
紡	組坊約防統細絀綽肪旅枋妨糸紐紗紉紋紀縫絞訪縲絃絆方織紂紙納絲仿縴紲純
礎	楚磊旋漩疋磴噤碎砭歌破砍胥磷礁磚礫磋磅碾碟碳碣碗硿婿硫碓砧矽
畝	炊欽坎吹砍軟玖次歌歟久疚欲欺款欣飲歇歉歐歎歜
卡	下上斥迂此正丐卞言坼定拆是柝訃柴迺疵逗訾逼齒穢
僖	嘻嬉禧譆喜熹僥儔侍仕售倍桔拮嘉僱遠催噎結檯黠鼓倖佳周吉
豎	腎堅賢緊痘登豐豈短逗脰凳臣宦臧臨臥服藏盒豆合報
痘	豈短登豐豎脰逗左奈豆痙凳誇痞壹合礬愷豉磋
悚	懶速束快忖辣喇嫩漱嗽也簌敕剌瀨獺秉癩籟柚棣迆弛她池地他賴柒
亢	芟迫朵颯炕蓬股返冗抗篷投般跺伉沆坑阬杭吭骯幾逢肌航咒疫
粲	燦璨
庶	度戒弁席廣蔗摭遮蕪庠械拚無廉憮撫嫵煎痰盞蓆蒸燕蕉薰戈渡鍍鷓
賅	核垓咳骸該貼駭孩閡氦敗財賠貝賄賑賬販賭賺劾賊賂貽貶賒賤賜則刻
翔	羿翻擢翩扇翎塌翹翱翁翌翅翳翟習蓊翮遢栩羽摺翡榻
郃	鄧邵邱郡部鄙頜鴿鄗郢邢搭塔褡啊瘩郊郎鬱耶邸祁都郭邦那邪郵郾鄘
侯	喉堠篌跪猴桅脆詭儔溺篛儼你仔天危乞佺侈佑佈傑弱伋仍健佩孑夜疙
逅	垢詬後近追迫減喊石鹹言箴迭返這造逗逼遣亢
花	仳靴化昆庇屁訛荏枇沘毗批妣佗能葆匕紕比屍荷疵蓓茶沱怩妮呢匙跎
羚	拎伶聆玲鈴泠冷蛉苓齡零令捻鈐吟侈羋羊羞岑
綻	繽堤縮緯絹提靛糸緩絨縉結締緒給縞縲絃綵縯綰緝緹碇綏綺綸綜絲錠縝
措	芭臘鵲拼漠拱擭昔惜厝膜搓搭獵草搽莫摸暗萌模借錯描醋音蠟指
驗	騾儉駁馱駙僉駝險騎籤撿瞼騁馬簽驢駱駒臉騵驥鹼檢殮駢驕驃驍駿騷驛驟
覽	窟出咄攬掘崛相倔櫬茁目盹苜黜拙親襯冒欖屈胃纜
諷	訴楓諛飈訢颯誘瘋飄託諉話誥誅詻詐詖設謝嵐詬風
雙	隻隹集焦售濩擭又奴雋穫獲攫健怪燮崔筵庭夜鍵錐護腱進馭椎涎淮梃
蠟	蛔淄臘鵲鬣繅蟲錙邋輜蝠昔惜蠔瑙蜻蛉蝓蟆螺措蟠獵蛇蟬惱蛤借錯蚣蝶蟀蝸蜈腦緇
今	令含泠貪涔稔聆拎羚念捻吟玲俯代伏筏俊鈴苓唸鈐妗俟黔昤岑冷伐伶
飢	飭餞餾飴餃餚餉飯凱饑饉譏餌飲餵飪蝕餓飼餡餿幾餅肌餽飽飾餒餘飩
漕	嘈槽遭糟濃澧曹曲撙儂樽噥遵膿漠澗禮穠蹲體蛐
玳	玲班玫代珍瑜斑玨琺王琴琳瑯瑚玥琅球玖瑰瑭璞琉佺璀弄
窺	規攪見筧莧覓覜峴覦覲蜆硯視鈇現覺靦覬觀窮窕竊窟
櫚	閭欄呂營嫻鋁侶問莒宮擱燜澗僩闆瀾攔爛潤憫捫們簡闡
絹	緝綏綵結縲絲綬紹糸絨絡給緩絃縞繃組細納繩綱綢
羹	羔窯善美糕恙姜羲義羨對膳送朕墨焦黑擲鄭薰蕉艾繕燻曦犧鎂躑樣鱔
厭	壓魘靨饜盟瘓百明奧奐厚煥噢喚懊換澳渙燠襖
莫	慕芭募漠墓昔惜膜厝糢措摹草蕞摸萌模借錯寞幕暮驀音蔓葛
挎	誇垮跨胯污
孃	壤嚷攘鑲瓖禳曩讓釀襄婷嬋偯喪囊鎬槁搞娛瓤
可	何呵坷奇河柯苛阿倚寄崎荷椅畸錡啊婀蚵犄琦軻
全	佺荃痊玨拴栓銓王匡汪旺枉皇閏餘弄狂玥詮合丘佰仁班斑
湃	牯牢件牛牟牡犁活牲拜泊牧沃牠牝豐看泖湩派洎洫物沂汎汁犄添眸浩
僩	們閒嫻澗燜捫門憫潤櫚攔瀾欄爛簡閃擱倩倡佾但斕閥悶閑間問閂藺蘭
冶	始怡擡治胎迨冷殆飴冰貽跆颱凜次凍準冽凋臺苔笞
料	科糉粹糖籽斟魁粳鬥糙米糠粒抖蚪粕糊敉斜粗斛枓
蹶	獗鱖蕨蹉跳足躇蹬蹺蹲蹟蹣蹦躊踱踐踏踩踡跪跎跆躪蹼跚趺趴
歧	鼓扯肯企址技豉啃山枝吱祉肢趾支妓芷芰止岐歲武
噪	噤咯保燥樞闆奩譟躁棠澡葆區操吋褓咖呆嫗藻嶇橾喳品嘔癌嚷唔
芒	罔虻盲薺魍茫肓慌忙妄忘芳莘惘芷荒蓄杗亡蓑
獻	獸器敵哭睿離獎默畎狀吠帝伏龍戾突啻旁臭現犬莽猷
蠶	蚤蠹概慨蟲螻僭潛蛋蠢虺溉蠱搔濁蝕晁蠡獨暨強繈蜴既簪蝨
第	弟阡弔梯陴涕陞悌娣銻阪幾隍陲降剃邶邪引筵
斷	斬斧祈訢繼斫聽昕新沂斤析掀圻所段芹斯折近匠
佗	跎沱陀蛇舵駝鴕仳它能化什妣批沘枇毗屁庇昆花
費	貴買員弗責貫貨賈貢賢贊鋇賀貿貸資貲賃質廁測惻側狽
扛	江槓肛釭紅缸虹訌工築槓汞攻功佐鴻巧貢項打折扯拓蚩
甸	心思慣佃慮勻苗田旬勺句匈膚鈿慍匐勾腮盧冀
煥	觼澳湧襖瓊喚噢邂懊瘓懈焰踴炊勇奐渙燠燃換
慇	怒疫芟毀殿穀殼殷般段股役投瘢骰搬鍛槃擊忝忽廄發毅毆澱殺燬設沒
快	塊悚心袂怯訣弛鴃筷迆缺也愧忖怕池地悄怏忸她惟忙柒抉拖他恢牠恨決
他	地她弛池迆拖迤也牠施佝訑馳休忖快悚柒付代仔仙仕僕什夥伐仲佃人
便	埂鞭儉僵仁佰哽粳儈價倆倫全氤偷由命佐伸合更餘俺伍偭硬佺何甦梗
竇	贖犢櫝瀆續黷牘讀賣窯窖窠簾窩窟窘窒窄突空穹究窪
筒	胴桐銅洞恫峒磊答壹同石硼言喊減脰洽拾恰哈
璦	曖噯琛玥瑤琿愛珊玨斑班璃瓔瑁珪現瑚王璩環璜璣璟璿璋璀瓊瓖瑞瑛
帶	帚婦掃滯帝啻蒂啼歸布慕巾帑吊常希老鈽怖佈締瞞蹄匝
取	耳恥耿陬聶洱耶趣弭耽聒茸娶最撮聰職支蕞聆揖楫聘聯聊叢聞
縮	繽繪緯絹佰繒糸綻縵線緩絨縉綿緒給縲蓿綵縯織綰緝緹綏綺綸綜絲繚宿縝
茴	苗迴嗇茵薔稟曲徊蛔回萬描錨曹菌檣若苦苟芯昔艾躉廿瞄牆穡
肇	肄建筆邀健肆腱鍵倣津律放僱聿毽敖竅嗷僱遨敷傲激檄族佈
碗	砍碳磋磷礫磊蜿磴宛碎碾磧砥磕砝矽婉硫碣腕碟惋磚詰硿歌豌砭石磁
暍	遏揭愒渴喝褐碣竭羯葛謁曷晶暘曝昌娼唱倡猖鯧
權	樺善橫構勸莒櫺糢萼樸又樣桔棋棺穫模檬吐歡樽械槁柑橾杈灌槌楛樞槽檯
暨	既概慨溉疸簪查僭潛晝蠶袒怛坦但三靼晅瘍竺旦晶暘
幸	圉倖悻報睪擇澤鐸卅繹釋譯驛辛畢坩芾芰弄苦
匝	砸巾布吊簾帛帝帥刷帑啻央市庸佈希帖帕怖帟席帷涮鈽幣滿
嫦	常膛噹擋檔襠鏜鐺瞠償儻尚撐螳讜當掌棠堂銷硝稍梢逍哨峭悄捎消俏
卹	血恤洫印卯叩卸即卻迎抑仰孵昂盆節泖柳唧啣腳鉚冊皿茆盪
擭	濩獲穫護攫搽搭雙隻摸描措摧蕉掖投推舊攜搓搆撲挫扳撒攤挺
哺	博捕敷莆誧蒲輔傅搏補甫賻圃鋪溥膊脯縛匍浦埔
爾	捎哨撈邇銷甭勞屑你敞悄瀰獼硝燼嘮不梢盃肖峭癆宵敝逍消璽盡儘然彌燃
鎂	美鉼鉗窯錨錯羔恙姜錐鋅銼鋰鉸對鈸鈿鈕鈑釦釵釙針鎰金羹善苒
肱	汰太宏肋胰閎雄叉篡朋央奐然奧肚肘胭朕釵醃月筋
倥	崆控腔硿空邃潸窒挖搾搾仁什穿麻痲佇但穹傢佗低弒儐估仗午窄窕突
蜀	濁燭鐲獨觸躅髑歜甲署睪罷鉀鴨胛柙押呷匣閘賣曼狎
屬	犀囑矚汴遲墀卞屝匪迨箋育母屍遮率悲棄屋尿每充痱扉菲玆舟戈職熾
蟯	鐃饒燒橈曉澆撓嬈僥繞蛙蟲蹺驍蟲螳蝗蜿蜷蛇蚣蛀
峽	卒俎巫愜疾崤坐山匈頰來陝莢狹崎挾兇夾浹俠
折	斬斧拆祈訢斫聽晰哲昕新浙斤沂析逝掀圻所芹斯近匠撕
洪	異巽寨暴拱鎰鬨港洋搴供潠哄共寒烘溢恭塞基
咀	組俎娟捐砠涓姐助且疽齟同誼亙鋤詛狙蛆祖沮租阻粗宜勗
脅	荔劻加男另勒茄努幼助劬勢伽肋叻勰功迦劣劫蘇辦痂咖力勇觔協
約	組釣細絀趵絢繡糸維紐絨紗紉勺紋灼紀糾的縲絃紆絆紂縐紙絰納絲喲紲紱純
隹	售集焦隻淮推惟崔堆唯仕進椎錐雙坐雀準帷雄僱雋雉雊稚碓睢匯催榫
藥	葉牀約吆似礫茶麼爍以窈孳樂機茲鑠玄關奚嘰畜拗幻滋蓄慈菜璣姒磁
撈	捎擋湧嶸勞爾榮熒螢肋撇營撚瑩嘮鶯縈癆拗拋捲勇澇塋犖筋燃換
雩	震雲雪雨雯霄霍霽霓霤霑霖霜霎靂霆霏霞霪霰霹露霾靄零黴靈
骰	股投殿骼殼般殷段穀毆毀設殺役疫芟骯毅沒髒體髑骷骸髁肌髓冗
穢	秒科稿稻稈程禾穗稼稱秤租祕秩秋秈和私番疵香委秀
檸	稼獰嚀糉植棕楮末搾檳楠梡榫枝枯杖榕寧棲濘榆棺擰
普	並碰踫並共井譜異基恭屏昌昔暴烘胼迸鉼拼拱洪姘哄銲供併曝
硯	莧攪靦碉砠窺覲覺蜆覬觀砟筧硝見砂規覜覓硼現峴磊覦視
叼	刁伺叩叨呎喔虐彗侵浸慧婦掃長雪詞嗎呢歸司匡帚
蝓	蛤偷褕逾瑜榆渝愉喻蟲蛉諭輸蚯瘉蜻蠕蜘蟲蝠蝸蝗蝙蜿蜢螟蜈蟀螳蠔
齊	卜齋霽文儕擠薺撲臍卞六樸主佔丹鬥下釙肅劑僕臼立濟亡躋上
圯	巳祀起吉巷僎撰潠選拮桔包周巽癌乩叱咄告袁售喜臺
嶔	撳崁嵌欽闕久歉簌羨茨嶝欺歟峪柩疚灸嗽漱掀炊坎吹
操	噪扣捐保驅燥揉闆奩攘櫺譟躁澡區軀嫗藻嶇橾採品嘔樞
係	孫縣鯀遜系蓀仰糸細傀低潔似累懸俄紂紀約紆依紗紋純紐納糾作伯絆
臨	宦器鑒賢藍堅臣籃險褕嬋臟蟬區除簞褓臧囂儼憚緊監彈贓囊嚴單豎鑑腎襄藏臥
餮	餐飧饗饕癢食養疹良琅狼浪娘瘡蒼殤傖珍饜筏鎗殮槍滄搶愴嗆趁診殊
嗾	鏃簇倣族淤瘀菸漩訪放枋肪坊妨仿房芳遊防於旁
悴	淬碎粹萃瘁誶醉翠卒傘惇懍懷摔掖液腋憧憶悼忙愜午
僅	瑾饉謹勤鄞覲佯備併供倩健僕債借聿津佰傭位伴仲件伕靖偌儀儂蹣筆
鵬	鶯鴻鶸鵑鳥鵲鶴鴣鴨鴆鴃鳴鳩鴦鳶鵠鵝鴿鷂鷓鴕鷹
臥	臨臣宦臧藏贓堅腎臟鑒緊豎賢鹽叩卯除褕附仰袱爪滌褓篠
攪	覺窺覓見筧硯視現規峴學莧覲覬覦靦蜆覜鱟黌
趨	越趙純趣趁起趟沌陡盹囤噸徒鈍赳超縐芻走肫趕飩赴
羊	芙磋達翔鮮搓羚詳洋樣咩羯羶癬徉羣氧祥烊差嗟嵯羋庠羞佯
育	唷撤朗徹月脊背澈迨肓梳流母舟幟職朋硫識胃姆琉疏織膊脯每拇有轍熾毓堉
褂	掛卦街畦桂掛娃哇佳奎鞋蛙閨堯鮭封涯捱崖圭
獐	瘴蟑子彰漳狡憶噫猖草幛億璋鏡暗樟章障臆笠音黯境
甘	芋垂廿墟嵌某煤苛甜甚黃疳芸虛芣一蚶鉗噓柑媒其華箝酣蕾坩廣
裙	咿洛吝佑烙窘路咯珞癡恪尹伊胳羣郡君右初襤鉻蜘知格略吞
榷	確椎鶴柄杵枚內肚榫樵栓鈉林杜吶榆檯稚樸梢桂雜柵柿柱相枕枉傭樸
鴃	鳥鴕鳴鴣鴨鳩鵑鵲鵬鳶鴆鴿鵝鵠鶴鷓鴦鶯鷹鴉鴒鶉鵡鵪鷂鷗鸛鴻鶸鴛
企	芷趾武址扯祉啃止肯歷歧歲步正僕遣症焉怔涉逃賦
簌	漱嗽籟掀梨欣利嶔羨痢嵌莉茨崁秉獺嫩喇速悚柩俐
潔	騾細鏍累吉絹漯絕紹繡糸嫘線維螺絨結桔紛纂嗉濰縲縈絃綵素綏絲嗦挈系
蛭	蟲蚵虹蛙蛀蚶蛆蚯蚜姪蝠蟲蛔蛐絰蚱蛄蛾蚊蚪蚌虻蚣屋室
認	誌誡試詔訟記詫詩詰詼談諍諜謂謬識詢詞詐討訑訕託計訃
砝	磕磊嗑石矽法怯碓砧砠砟砂研砍硝歌確磯去泵
峙	待寸詩博狩恃寺褥痔撙持奪將傅搏耨咐傳等特樽溥遵對塒膊侍時磚封 
鋼	鋇益脊剛鎰魍胼厥皿岡鑪鍰盆逆闕錳銅惘隘溯鍋綱崗冊溢朕鑑錚鏑朔
窿	薩穹隆竅窕郝窺窮蔭窪癮竊窈窒窄突空簾究窖窘橢猜都除耶郊邦
禁	夢噤碳杯棕宗票焚隸楚滅婪林耘祭不襟竺三示奈礬梵二祟禦
賦	武賠賒貯賑貝賤賜賊賂購貽貶贈贍贓贖賬貼則
瘸	痂肉架賀希駕腐袈吶加餚爻癖茄奩迦咖伽瘺瘟療癆脅痍病努
鑷	聶攝懾囁躡輒洱弭茸鋸椰陬聾聱聞爺輯餌耿恥取趣耳聲聳
冊	皿刪姍柵盅血侖孟盂扁珊盃益盍盔盞盟監岡朕胼
勉	攙免幼助劬饞逸冕肋叻輓劣菟劫兔晚娩勇觔挽冤脅
兼	金廿簾羊謙井歉甘並曲六齊廉肅嫌皿典臼鐮濂立賺共只世升縑羋冊
匠	所聽圻折沂昕析芹近斧斫祈斬斯斤掀新訢欣浙淅逝晰
槽	漕撙遭儂曲禮曹蛐模膿蹲樽遵濃澧嘈糟穠噥體
孕	乃孱奶扔仍字孚李秀季遊遊存氖孝孛學莠仔好囝透
泠	伶拎鈴玲冷羚聆蛉苓齡零滄令吟鈐侈汽海涔渝昤岑
疾	癡矣效嫉矢畋枚敉敝敖啟敕故知玫牧敞敢散傚敬改收敵數
復	待御徠很徵履後行徬彼徇覆複彷役徐從腹徒彿微得愎徨馥
填	慎滇闐植埔顛堵直鎮壙墳睿且真癲值壹巔宜瞋縝
禺	愚偶寓遇隅耦邁癘藕萬禹甲巾厲匣匝胛柙押呷吊鉀布躉
罟	置罩眾買罵罹罰苦居罪羅羈寰固遝澴還夢蛄枯沽姑咕鈷估環
網	綱惘魍綢輞綵綏絲綬縲組緩絹絃糸綑細紲紋納糾縴罔緲
過	寸守猾迥滑萵骼骨窩迨亂週遣禍襯討朋膏迢對啻蹦造時鍋高村蝸付媧炯堝渦撾
巍	魏機委嘰幾痿萎鬼饑譏璣魄槐逶倭蒐魅瑰魁塊愧矮傀峨
汲	洛扳閣板阪各伋沒殼鈑吸返浚及冬岌反級圾波極
狗	拘狄枸佝鉤狎狙狂狠狸猓犯狷苟狐狡狼狹狽夠猶駒猖猿獰
繳	檄激竅緻邀線倣絲縲綿縱緞紡編縫紕綞紋紙放繙總緹絡絳絃終族
淵	沖津沸油瀟肅洩泱沈嘯鏽蕭簫淒淦漢汨沂沐沁江汕澠汝汁濟潰洮水
嗯	咽恩胭姻茵傯喟氤喂舔嘿添哽哩呷因噹憾總嗶忝
蝗	遑煌隍湟惶徨蟲韹篁凰蟠蚱蝙蜂蟋蛾蛛蛞蟲皇
檢	儉檜僉險橙洽籤榆撿閤瞼驗哈簽拾槍給蛤梅臉鹼殮合恰鑰答栓
蚓	蟲蜓蟲螂蛹蜢蜊蜥蜘蝴蝦蚪蚌蚊蛀蚶蛄蚵蛆蚱蚯虻虹蛙蛔蛐蚣蟾
領	頻顧顆頂令齡頃頒題頓拎頡頤頌玲頭顯頰鄰碩項鈴頊頑頫憐預煩須冷嶺伶頷頗類頜
帳	脹張悵倀賬萇長漲巾帷帖帕帆幅幀帽幃幌幟幡幗
足	趴趺距跚跆跟踐踝踏踩躋趾跎跋跑跌跺跤跦跼踫踟踞踱蹂蹉蹈蹣蹦蹕
授	綬受採探掙援朋揮搖棚崩愛撚噯靜曖璦硼胴骨
緻	絰繳絲致縉縲紜紆緬紅姪絃糸緲綁繈紕倒維緒絞蛭組紱細紋紐納紂紉
歷	政科厲徵扯曆肯勵穢企瀝址遣啃祉趾歪靂賦壢步焉嫣芷怔止武歲歧症徙正
妞	忸扭鈕醜紐好奴羞妳奶妤娩妊如娃姨娌娛婿疆女姦
禳	瓖攘孃壤嚷鑲讓釀曩縞襄禪祉禧縴禍福絃禎祐祀
劓	鼾鼻川劃順州剷剽釧訓剋剌圳襪亞馴劃爪啞袖褲逸斤篾蔑箋蜇惡菟堊
植	慎滇棕楮直填鎮脤檳檸且楠矗梡真值枝棋具檬枯置杖殖桐棲宜俱
卅	辛幸畢芰芾苦南圉倖宰悻梓莘華嗶鋅廿十薴萋著楛葫蕙
雌	此疵齜毗枇沘批妣仳北比齒髭紕邶能昆庇屁摧詣璀催暹上
羲	曦犧義羔恙美姜對羨羹善墦儀窯禾糕膳蟻議琍
舫	航舢舶舨舷舟舵船肪艋艘艙艦艇枋妨坊仿房紡訪防彷旁芳
搾	搾窄柞榕潸硿腔控崆倥挖窖邃乍戶痲窮窗麻竅竊
濱	嬪檳臏儐殯繽鬢渲淙賓瀋瀉溶沱濘滓演汁湯潸滇
逶	倭矮透諉萎委潘播墦禾悸幡蟠繙穌揪愀啾鍬裒稟裹秦審蕃
漓	璃魑濠涼沆澶淳液淬禽擒噙流滾滂濬涪瀘滴濟泣沾注汴汶漣溯淑
鄴	郭鄭邢橢鄱鄞郵部郎鬱耶邱祁邪那邦弔鄰鄧鄙鄘鄒鄗郾都郡郝郢郊郃
悍	捍桿焊銲稈怛趕旱旬惺幹惕愒幹慢憬岸袒坦但桿肝奸汗竿旦
句	苟叵抱拘怡心苞泡炮胞旬回煦勺枸甸佝咆鉋包狗袍憚勾鉤庖雊品口
蚱	蝙蟲蛛蛞蛾蟲蚶蛄蛆蚯蛀蚊蛙蛔蛐蚌蚪虻蝗蟋蟠蜊蝌
倒	冽例側琍室咧致洌屋蛭到窒侄蜊握輊俐至喔耋絰渥姪緻
癬	鮮蘚烊祥蘇你為羋羊氧差庠羣洋咩佯痛痍羞疚羼瘓穌磋搓嵯嗟徉
